Date,Away Team,Away Line,Away Odds,Home Team,Home Line,Home Odds
2022-11-18,New York Knicks,+5.5,-110,Golden State Warriors,-5.5,-110
2022-11-18,Detroit Pistons,+7.0,-110,Los Angeles Lakers,-7.0,-110
2022-11-19,Toronto Raptors,+5.0,-110,Atlanta Hawks,-5.0,-110
2022-11-19,Orlando Magic,+6.5,-110,Indiana Pacers,-6.5,-110
2022-11-19,Minnesota Timberwolves,+2.0,-110,Philadelphia 76ers,-2.0,-110
2022-11-19,Utah Jazz,+3.5,-110,Portland Trail Blazers,-3.5,-110
2022-11-19,San Antonio Spurs,+8.0,-110,Los Angeles Clippers,-8.0,-110
2022-11-20,New York Knicks,+5.5,-110,Phoenix Suns,-5.5,-110
2022-11-20,Charlotte Hornets,+6.5,-110,Washington Wizards,-6.5,-110
2022-11-20,Detroit Pistons,+9.0,-110,Sacramento Kings,-9.0,-110
2022-11-20,Golden State Warriors,-8.0,-110,Houston Rockets,+8.0,-110
2022-11-20,Miami Heat,+9.5,-110,Cleveland Cavaliers,-9.5,-110
2022-11-20,Memphis Grizzlies,+7.0,-110,Brooklyn Nets,-7.0,-110
2022-11-20,Denver Nuggets,+9.5,-110,Dallas Mavericks,-9.5,-110
2022-11-20,San Antonio Spurs,+7.0,-110,Los Angeles Lakers,-7.0,-110
2022-11-21,Atlanta Hawks,+2.5,-110,Cleveland Cavaliers,-2.5,-110
2022-11-21,Orlando Magic,+7.0,-110,Indiana Pacers,-7.0,-110
2022-11-21,New York Knicks,+1.5,-110,Oklahoma City Thunder,-1.5,-110
2022-11-21,Golden State Warriors,+4.5,-110,New Orleans Hornets,-4.5,-110
2022-11-21,Portland Trail Blazers,+7.5,-110,Milwaukee Bucks,-7.5,-110
2022-11-21,Boston Celtics,-6.0,-110,Chicago Bulls,+6.0,-110
2022-11-21,Miami Heat,+7.5,-110,Minnesota Timberwolves,-7.5,-110
2022-11-21,Utah Jazz,+3.5,-108,Los Angeles Clippers,-3.5,-112
2022-11-22,Brooklyn Nets,-7.5,-110,Philadelphia 76ers,+7.5,-110
2022-11-22,Sacramento Kings,+1.0,-110,Memphis Grizzlies,-1.0,-110
2022-11-22,Detroit Pistons,+6.5,-110,Denver Nuggets,-6.5,-110
2022-11-22,Los Angeles Lakers,+7.5,-110,Phoenix Suns,-7.5,-110
2022-11-23,Minnesota Timberwolves,-2.0,-110,Indiana Pacers,+2.0,-110
2022-11-23,Portland Trail Blazers,+8.0,-110,Cleveland Cavaliers,-8.0,-110
2022-11-23,Philadelphia 76ers,+4.0,-110,Charlotte Hornets,-4.0,-110
2022-11-23,Sacramento Kings,+6.0,-110,Atlanta Hawks,-6.0,-110
2022-11-23,Dallas Mavericks,+7.0,-110,Boston Celtics,-7.0,-110
2022-11-23,Washington Wizards,+3.0,-110,Miami Heat,-3.0,-110
2022-11-23,Brooklyn Nets,+1.5,-110,Toronto Raptors,-1.5,-110
2022-11-23,Chicago Bulls,+8.0,-110,Milwaukee Bucks,-8.0,-110
2022-11-23,New Orleans Hornets,-7.0,-110,San Antonio Spurs,+7.0,-110
2022-11-23,Denver Nuggets,-2.0,-110,Oklahoma City Thunder,+2.0,-110
2022-11-23,Detroit Pistons,+11.5,-110,Utah Jazz,-11.5,-110
2022-11-23,Los Angeles Clippers,+6.0,-110,Golden State Warriors,-6.0,-110
2022-11-25,Minnesota Timberwolves,-2.5,-110,Charlotte Hornets,+2.5,-110
2022-11-25,Philadelphia 76ers,+3.0,-110,Orlando Magic,-3.0,-110
2022-11-25,Portland Trail Blazers,+5.5,-110,New York Knicks,-5.5,-110
2022-11-25,Brooklyn Nets,-4.0,-110,Indiana Pacers,+4.0,-110
2022-11-25,New Orleans Hornets,+1.5,-110,Memphis Grizzlies,-1.5,-110
2022-11-25,Los Angeles Lakers,-5.5,-110,San Antonio Spurs,+5.5,-110
2022-11-25,Cleveland Cavaliers,+3.5,-110,Milwaukee Bucks,-3.5,-110
2022-11-25,Sacramento Kings,+8.5,-110,Boston Celtics,-8.5,-110
2022-11-25,Washington Wizards,+5.0,-110,Miami Heat,-5.0,-110
2022-11-25,Atlanta Hawks,-7.5,-110,Houston Rockets,+7.5,-110
2022-11-25,Chicago Bulls,-1.0,-110,Oklahoma City Thunder,+1.0,-110
2022-11-25,Detroit Pistons,+12.5,-110,Phoenix Suns,-12.5,-110
2022-11-25,Utah Jazz,+7.5,-110,Golden State Warriors,-7.5,-110
2022-11-25,Denver Nuggets,-2.5,-110,Los Angeles Clippers,+2.5,-110
2022-11-26,Dallas Mavericks,-2.0,-110,Toronto Raptors,+2.0,-110
2022-11-26,Los Angeles Lakers,-3.0,-110,San Antonio Spurs,+3.0,-110
2022-11-26,Oklahoma City Thunder,-2.0,-115,Houston Rockets,+2.0,-105
2022-11-26,Utah Jazz,+7.0,-110,Phoenix Suns,-7.0,-110
2022-11-27,Portland Trail Blazers,+5.5,-110,Brooklyn Nets,-5.5,-110
2022-11-27,Golden State Warriors,+1.0,-110,Minnesota Timberwolves,-1.0,-110
2022-11-27,Indiana Pacers,+3.0,-110,Los Angeles Clippers,-3.0,-110
2022-11-27,Miami Heat,+5.5,-110,Atlanta Hawks,-5.5,-110
2022-11-27,Memphis Grizzlies,-1.5,-110,New York Knicks,+1.5,-110
2022-11-27,Philadelphia 76ers,+3.0,-110,Orlando Magic,-3.0,-110
2022-11-27,Washington Wizards,+8.5,-110,Boston Celtics,-8.5,-110
2022-11-27,Cleveland Cavaliers,-7.0,-110,Detroit Pistons,+7.0,-110
2022-11-27,Dallas Mavericks,+6.0,-110,Milwaukee Bucks,-6.0,-110
2022-11-28,Minnesota Timberwolves,-1.5,-110,Washington Wizards,+1.5,-110
2022-11-28,Atlanta Hawks,+1.0,-110,Philadelphia 76ers,-1.0,-110
2022-11-28,Cleveland Cavaliers,+1.0,-110,Toronto Raptors,-1.0,-110
2022-11-28,Charlotte Hornets,+11.5,-110,Boston Celtics,-11.5,-110
2022-11-28,Orlando Magic,+6.5,-110,Brooklyn Nets,-6.5,-110
2022-11-28,Oklahoma City Thunder,+6.0,-110,New Orleans Hornets,-6.0,-110
2022-11-28,Chicago Bulls,+2.0,-110,Utah Jazz,-2.0,-110
2022-11-28,Houston Rockets,+11.5,-110,Denver Nuggets,-11.5,-110
2022-11-28,Phoenix Suns,-1.0,-110,Sacramento Kings,+1.0,-110
2022-11-28,Indiana Pacers,+5.0,-110,Los Angeles Lakers,-5.0,-110
2022-11-29,New York Knicks,-3.5,-110,Detroit Pistons,+3.5,-110
2022-11-29,Golden State Warriors,EVEN,-110,Dallas Mavericks,EVEN,-110
2022-11-29,Los Angeles Clippers,+2.0,-110,Portland Trail Blazers,-2.0,-110
2022-11-30,Philadelphia 76ers,+4.0,-110,Cleveland Cavaliers,-4.0,-110
2022-11-30,Atlanta Hawks,-5.5,-110,Orlando Magic,+5.5,-110
2022-11-30,Miami Heat,+8.0,-110,Boston Celtics,-8.0,-110
2022-11-30,Milwaukee Bucks,-4.5,-110,New York Knicks,+4.5,-110
2022-11-30,Washington Wizards,+5.5,-110,Brooklyn Nets,-5.5,-110
2022-11-30,San Antonio Spurs,+4.5,-110,Oklahoma City Thunder,-4.5,-110
2022-11-30,Memphis Grizzlies,-4.0,-110,Minnesota Timberwolves,+4.0,-110
2022-11-30,Toronto Raptors,+1.5,-110,New Orleans Hornets,-1.5,-110
2022-11-30,Chicago Bulls,+5.5,-110,Phoenix Suns,-5.5,-110
2022-11-30,Los Angeles Clippers,+6.0,-110,Utah Jazz,-6.0,-110
2022-11-30,Houston Rockets,+12.5,-110,Denver Nuggets,-12.5,-110
2022-11-30,Indiana Pacers,+4.5,-110,Sacramento Kings,-4.5,-110
2022-11-30,Portland Trail Blazers,+5.5,-110,Los Angeles Lakers,-5.5,-110
2022-12-01,Dallas Mavericks,-6.5,-110,Detroit Pistons,+6.5,-110
2022-12-02,Washington Wizards,-2.5,-110,Charlotte Hornets,+2.5,-110
2022-12-02,Toronto Raptors,+3.0,-110,Brooklyn Nets,-3.0,-110
2022-12-02,Miami Heat,+8.5,-110,Boston Celtics,-8.5,-110
2022-12-02,Los Angeles Lakers,+7.5,-110,Milwaukee Bucks,-7.5,-110
